ID 2.0,ID 1.0,Mean,Condition,Time,Max,Velocity (bpm/s)
28,32,65.72,Dynamisk_2,34.23,101.41,-1.0033
28,32,73.16,Dynamisk_10,28.81,106.54,-0.9931
39,33,75.3,Reference,43.35,107.9,-0.5931
39,33,72.2,Statisk,41.62,112.44,-0.7958
39,33,76.83,Dynamisk_2,29.31,104.73,-0.928
39,33,75.55,Dynamisk_10,37.68,113.24,-0.9114
30,35,101.1,Reference,53.68,122.51,-0.3465
30,35,102.48,Statisk,44.57,124.37,-0.3742
30,35,101.69,Dynamisk_2,49.74,122.78,-0.3583
30,35,102.79,Dynamisk_10,85.95,129.98,-0.2043
31,36,54.25,Reference,66.49,84.76,-0.4036
31,36,57.22,Statisk,85.94,84.63,-0.1493
31,36,58.99,Dynamisk_2,47.04,81.59,-0.3358
31,36,57.3,Dynamisk_10,43.1,81.49,-0.6094
32,37,80.14,Reference,33.0,118.07,-1.2053
32,37,80.96,Statisk,19.95,98.0,-0.8236
32,37,78.85,Dynamisk_2,30.79,102.24,-0.9418
32,37,77.74,Dynamisk_10,30.29,99.17,-0.7749
33,38,68.08,Reference,61.57,115.37,-0.5937
33,38,73.41,Statisk,40.39,107.71,-0.6911
33,38,68.16,Dynamisk_2,41.38,102.27,-0.7335
33,38,70.96,Dynamisk_10,51.71,110.98,-0.6433
34,40,74.14,Reference,33.0,114.71,-1.3402
34,40,82.92,Statisk,57.87,113.37,-0.5136
34,40,76.19,Dynamisk_2,40.64,104.98,-0.5452
34,40,75.83,Dynamisk_10,26.35,110.73,-1.4161
35,41,84.96,Reference,24.38,117.56,-1.1615
35,41,79.37,Statisk,46.3,117.0,-1.0181
35,41,79.08,Dynamisk_2,27.34,114.61,-1.5393
35,41,77.02,Dynamisk_10,32.02,122.0,-1.1804
36,42,90.77,Reference,32.01,127.49,-1.1382
36,42,93.55,Statisk,43.84,121.68,-0.6125
36,42,90.84,Dynamisk_2,35.71,121.93,-0.8951
36,42,95.29,Dynamisk_10,83.25,120.68,-0.3649
37,43,72.08,Reference,179.04,121.2,-0.1429
37,43,72.97,Statisk,53.68,128.71,-1.2728
37,43,76.06,Dynamisk_2,178.3,129.61,-0.2735
37,43,73.83,Dynamisk_10,52.7,118.59,-0.6019
38,44,78.34,Reference,86.94,126.61,-0.3237
38,44,86.75,Statisk,52.21,129.95,-0.6386
38,44,76.86,Dynamisk_2,61.32,128.98,-0.7203
38,44,78.39,Dynamisk_10,66.73,119.29,-0.4172
39,45,83.56,Reference,45.55,123.39,-0.5973
39,45,84.68,Statisk,46.79,143.88,-1.102
39,45,87.38,Dynamisk_2,36.19,141.15,-1.7618
39,45,85.58,Dynamisk_10,46.54,123.68,-0.4195
40,46,76.66,Reference,46.3,110.17,-0.871
40,46,78.0,Statisk,101.21,115.17,-0.2673
40,46,74.58,Dynamisk_2,73.88,107.05,-0.383
40,46,72.89,Dynamisk_10,53.69,118.85,-0.6565
41,47,67.71,Reference,119.93,115.95,-0.2572
41,47,61.21,Statisk,68.22,117.27,-0.9499
41,47,63.42,Dynamisk_2,71.91,119.68,-0.6587
41,47,62.68,Dynamisk_10,39.9,119.56,-1.5769
42,48,74.29,Reference,28.32,117.54,-1.8289
42,48,73.57,Statisk,54.92,110.66,-0.8371
42,48,73.65,Dynamisk_2,50.73,107.32,-0.6726
42,48,70.95,Dynamisk_10,49.26,105.05,-0.4184
43,49,112.36,Reference,90.87,144.59,-0.2822
43,49,104.83,Statisk,33.49,129.78,-0.9261
43,49,108.35,Dynamisk_2,103.93,136.85,-0.1694
43,49,105.25,Dynamisk_10,102.45,136.41,-0.2391
44,50,89.45,Reference,53.44,139.46,-0.6445
44,50,91.41,Statisk,41.307,129.51,-1.0703
44,50,88.22,Dynamisk_2,49.209,142.9,-1.3054
44,50,87.82,Dynamisk_10,64.77,147.68,-0.7308
45,51,88.28,Reference,69.555,110.1,-0.0552
45,51,92.79,Statisk,44.219,121.17,-0.5188
45,51,94.95,Dynamisk_2,40.56,122.0,-0.6676
45,51,91.81,Dynamisk_10,41.122,122.54,-0.7384
46,52,74.72,Reference,33.138,108.15,-1.1645
46,52,72.85,Statisk,66.098,118.85,-0.5331
46,52,73.56,Dynamisk_2,88.503,112.1,-0.4763
46,52,79.2,Dynamisk_10,49.904,117.0,-0.6655
