ID 2.0,ID 1.0,Mean,Condition,Time,Max,Velocity (bpm/s)
11,12,68.89,Dynamisk_2,112.79,101.2,-0.0495
11,12,75.56,Dynamisk_10,59.11,108.49,-0.391
12,15,75.56,Reference,42.11,129.22,-1.1368
12,15,72.61,Statisk,68.46,117.39,-0.5934
12,15,71.4,Dynamisk_2,46.8,114.22,-0.865
12,15,71.74,Dynamisk_10,51.47,119.22,-0.8181
13,16,75.22,Reference,56.64,126.9,-1.0852
13,16,77.28,Statisk,115.01,125.39,-0.4746
13,16,75.85,Dynamisk_2,44.33,116.68,-0.9784
13,16,73.87,Dynamisk_10,56.39,120.41,-0.8882
14,17,59.3,Reference,81.27,115.73,-0.6967
14,17,84.25,Statisk,176.08,117.22,-0.1943
14,17,82.33,Dynamisk_2,213.27,123.9,-0.153
14,17,85.81,Dynamisk_10,200.22,114.83,-0.1365
15,18,56.11,Reference,48.77,98.44,-0.9701
15,18,53.08,Statisk,40.14,96.44,-1.2191
15,18,54.79,Dynamisk_2,55.91,98.76,-0.7096
15,18,53.4,Dynamisk_10,31.03,79.12,-0.6416
16,19,68.87,Reference,89.39,103.76,-0.3206
16,19,73.93,Statisk,52.729,105.49,-0.3864
16,19,71.37,Dynamisk_2,59.737,102.39,-0.6454
16,19,76.52,Dynamisk_10,41.62,104.98,-0.5872
17,20,62.61,Reference,39.565,104.56,-1.104
17,20,66.44,Statisk,44.857,103.32,-0.8592
17,20,59.86,Dynamisk_2,75.855,105.15,-0.7943
17,20,63.96,Dynamisk_10,42.736,106.07,-1.1217
18,21,71.04,Reference,43.277,117.46,-0.9597
18,21,71.6,Statisk,53.878,117.8,-0.6676
18,21,74.49,Dynamisk_2,77.768,123.22,-0.4721
18,21,81.17,Dynamisk_10,62.333,126.27,-0.6677
19,22,92.44,Reference,81.715,131.0,-0.0867
19,22,96.72,Statisk,64.817,137.22,-0.5328
19,22,93.02,Dynamisk_2,45.946,134.54,-0.7644
19,22,93.73,Dynamisk_10,77.96,134.61,-0.4226
20,23,80.33,Reference,145.313,116.0,-0.1771
20,23,74.4,Statisk,55.286,108.29,-0.4225
20,23,75.51,Dynamisk_2,54.906,111.78,-0.4859
20,23,78.56,Dynamisk_10,83.354,112.17,-0.3044
21,24,67.16,Reference,48.27,104.0,-0.8241
21,24,68.85,Statisk,40.15,95.98,-0.6056
21,24,69.21,Dynamisk_2,36.69,99.37,-0.772
21,24,69.41,Dynamisk_10,49.74,97.0,-0.5508
22,25,92.18,Reference,58.86,131.05,-0.3881
22,25,98.03,Statisk,74.86,131.63,-0.3668
22,25,95.88,Dynamisk_2,136.5,123.61,-0.0861
22,25,100.99,Dynamisk_10,67.73,122.9,-0.2757
23,26,73.2,Reference,40.28,120.0,-1.4647
23,26,78.28,Statisk,42.945,122.56,-1.0801
23,26,76.28,Dynamisk_2,53.048,119.93,-0.7259
23,26,77.64,Dynamisk_10,39.272,125.1,-1.3385
24,27,79.08,Reference,53.008,114.71,-0.764
24,27,79.02,Statisk,33.73,120.78,-1.2762
24,27,79.73,Dynamisk_2,72.538,120.9,-0.4718
24,27,76.88,Dynamisk_10,56.657,123.07,-0.7414
25,28,73.78,Reference,52.477,118.95,-0.7127
25,28,78.27,Statisk,54.081,122.78,-0.7329
25,28,79.84,Dynamisk_2,80.345,118.15,-0.5041
25,28,73.92,Dynamisk_10,92.108,107.93,-0.2669
26,29,89.59,Reference,40.039,105.27,-0.2954
26,29,83.56,Statisk,208.202,110.12,-0.1366
26,29,81.38,Dynamisk_2,66.301,106.93,-0.2257
26,29,86.49,Dynamisk_10,53.663,113.0,-0.4281
27,30,88.2,Reference,34.73,121.49,-0.9232
27,30,86.76,Statisk,35.46,123.85,-1.3045
27,30,87.62,Dynamisk_2,22.9,128.29,-2.039
27,30,87.49,Dynamisk_10,84.72,137.12,-0.3762
28,31,80.11,Reference,138.4,114.51,-0.1603
28,31,84.2,Statisk,119.69,115.98,-0.1603
28,31,78.9,Dynamisk_2,128.06,118.61,-0.2112
28,31,78.64,Dynamisk_10,105.9,112.24,-0.2302
29,32,68.68,Reference,32.26,111.0,-1.4934
29,32,68.62,Statisk,20.19,98.29,-1.4752
29,32,65.72,Dynamisk_2,34.23,101.41,-1.0033
29,32,73.16,Dynamisk_10,28.81,106.54,-0.9931
30,33,75.3,Reference,43.35,107.9,-0.5931
30,33,72.2,Statisk,41.62,112.44,-0.7958
30,33,76.83,Dynamisk_2,29.31,104.73,-0.928
30,33,75.55,Dynamisk_10,37.68,113.24,-0.9114
31,35,101.1,Reference,53.68,122.51,-0.3465
31,35,102.48,Statisk,44.57,124.37,-0.3742
31,35,101.69,Dynamisk_2,49.74,122.78,-0.3583
31,35,102.79,Dynamisk_10,85.95,129.98,-0.2043
32,36,54.25,Reference,66.49,84.76,-0.4036
32,36,57.22,Statisk,85.94,84.63,-0.1493
32,36,58.99,Dynamisk_2,47.04,81.59,-0.3358
32,36,57.3,Dynamisk_10,43.1,81.49,-0.6094
33,37,80.14,Reference,33.0,118.07,-1.2053
33,37,80.96,Statisk,19.95,98.0,-0.8236
33,37,78.85,Dynamisk_2,30.79,102.24,-0.9418
33,37,77.74,Dynamisk_10,30.29,99.17,-0.7749
34,38,68.08,Reference,61.57,115.37,-0.5937
34,38,73.41,Statisk,40.39,107.71,-0.6911
34,38,68.16,Dynamisk_2,41.38,102.27,-0.7335
34,38,70.96,Dynamisk_10,51.71,110.98,-0.6433
