sensorcount,timestamp,hr
1.64604267503e+12,2022-02-28 11:04:35.025000,72
1.64604267527e+12,2022-02-28 11:04:35.272000,73
1.64604267552e+12,2022-02-28 11:04:35.517000,73
1.64604267576e+12,2022-02-28 11:04:35.763000,73
1.64604267601e+12,2022-02-28 11:04:36.010000,69
1.64604267626e+12,2022-02-28 11:04:36.256000,69
1.6460426765e+12,2022-02-28 11:04:36.503000,69
1.64604267675e+12,2022-02-28 11:04:36.749000,69
1.646042677e+12,2022-02-28 11:04:36.995000,67
1.64604267724e+12,2022-02-28 11:04:37.242000,67
1.64604267749e+12,2022-02-28 11:04:37.488000,67
1.64604267774e+12,2022-02-28 11:04:37.734000,67
1.64604267798e+12,2022-02-28 11:04:37.980000,66
1.64604267823e+12,2022-02-28 11:04:38.226000,66
1.64604267847e+12,2022-02-28 11:04:38.472000,66
1.64604267872e+12,2022-02-28 11:04:38.719000,66
1.64604267897e+12,2022-02-28 11:04:38.965000,66
1.64604267921e+12,2022-02-28 11:04:39.211000,66
1.64604267946e+12,2022-02-28 11:04:39.458000,66
1.64604267971e+12,2022-02-28 11:04:39.704000,66
1.64604267995e+12,2022-02-28 11:04:39.950000,66
1.6460426802e+12,2022-02-28 11:04:40.197000,66
1.64604268044e+12,2022-02-28 11:04:40.443000,66
1.64604268069e+12,2022-02-28 11:04:40.690000,66
1.64604268094e+12,2022-02-28 11:04:40.935000,65
1.64604268118e+12,2022-02-28 11:04:41.182000,65
1.64604268143e+12,2022-02-28 11:04:41.428000,65
1.64604268168e+12,2022-02-28 11:04:41.675000,67
1.64604268192e+12,2022-02-28 11:04:41.920000,67
1.64604268217e+12,2022-02-28 11:04:42.167000,67
1.64604268241e+12,2022-02-28 11:04:42.414000,68
1.64604268266e+12,2022-02-28 11:04:42.659000,68
1.64604268291e+12,2022-02-28 11:04:42.905000,68
1.64604268315e+12,2022-02-28 11:04:43.152000,68
1.6460426834e+12,2022-02-28 11:04:43.398000,66
1.64604268365e+12,2022-02-28 11:04:43.644000,66
1.64604268389e+12,2022-02-28 11:04:43.891000,66
1.64604268414e+12,2022-02-28 11:04:44.137000,66
1.64604268438e+12,2022-02-28 11:04:44.383000,66
1.64604268463e+12,2022-02-28 11:04:44.630000,66
1.64604268488e+12,2022-02-28 11:04:44.876000,66
1.64604268512e+12,2022-02-28 11:04:45.122000,66
1.64604268537e+12,2022-02-28 11:04:45.368000,65
1.64604268562e+12,2022-02-28 11:04:45.614000,65
1.64604268586e+12,2022-02-28 11:04:45.861000,65
1.64604268611e+12,2022-02-28 11:04:46.107000,65
1.64604268635e+12,2022-02-28 11:04:46.353000,65
