sensorcount,timestamp,hr
1.64681642842e+12,2022-03-09 10:00:28.419000,67
1.64681642867e+12,2022-03-09 10:00:28.666000,66
1.64681642891e+12,2022-03-09 10:00:28.912000,66
1.64681642916e+12,2022-03-09 10:00:29.158000,66
1.64681642941e+12,2022-03-09 10:00:29.406000,66
1.64681642965e+12,2022-03-09 10:00:29.651000,66
1.6468164299e+12,2022-03-09 10:00:29.897000,66
1.64681643014e+12,2022-03-09 10:00:30.143000,66
1.64681643039e+12,2022-03-09 10:00:30.390000,66
1.64681643064e+12,2022-03-09 10:00:30.636000,66
1.64681643088e+12,2022-03-09 10:00:30.882000,66
1.64681643113e+12,2022-03-09 10:00:31.128000,66
1.64681643138e+12,2022-03-09 10:00:31.375000,66
1.64681643162e+12,2022-03-09 10:00:31.621000,66
1.64681643187e+12,2022-03-09 10:00:31.868000,66
1.64681643211e+12,2022-03-09 10:00:32.114000,66
1.64681643236e+12,2022-03-09 10:00:32.360000,66
1.6468164331e+12,2022-03-09 10:00:33.098000,66
1.64681643335e+12,2022-03-09 10:00:33.345000,66
1.64681643359e+12,2022-03-09 10:00:33.591000,66
1.64681643384e+12,2022-03-09 10:00:33.837000,66
1.64681643408e+12,2022-03-09 10:00:34.084000,66
1.64681643433e+12,2022-03-09 10:00:34.330000,66
1.64681643458e+12,2022-03-09 10:00:34.576000,66
1.64681643482e+12,2022-03-09 10:00:34.823000,66
1.64681643507e+12,2022-03-09 10:00:35.069000,66
1.64681643532e+12,2022-03-09 10:00:35.315000,66
1.64681643556e+12,2022-03-09 10:00:35.562000,66
1.64681643581e+12,2022-03-09 10:00:35.808000,66
1.6468164363e+12,2022-03-09 10:00:36.301000,66
1.64681643655e+12,2022-03-09 10:00:36.546000,66
1.64681643679e+12,2022-03-09 10:00:36.792000,66
1.64681643704e+12,2022-03-09 10:00:37.040000,66
1.64681643729e+12,2022-03-09 10:00:37.286000,66
1.64681643753e+12,2022-03-09 10:00:37.531000,66
1.64681643778e+12,2022-03-09 10:00:37.778000,66
1.64681643803e+12,2022-03-09 10:00:38.024000,66
1.64681643827e+12,2022-03-09 10:00:38.270000,66
